Review_Title,User_Name,Rating,Review_Date,Review_Text
Bad purchase,Briana,1,2024-12-30,Left AirPod stopped working after 3 weeks. The Airpod case only stays charged for a day.
Great deal,Jade,5,2024-12-30,Got it as a gift for Christmas while it was on sale. They arrived quickly in perfect condition.
amazing,Mya,5,2024-12-30,they work perfect
,Daphne,5,2024-12-30,My daughter loves them. Works great.
Spreading holiday cheer- Airpods Scored big!,Denise,5,2024-12-29,This was a Christmas gift for a cousin. He loved it!
,Rebecca,5,2024-12-29,kids love them
,Rebecca,5,2024-12-29,kids love them
,Pam,5,2024-12-29,Great sound %26 fit
,Tristan,1,2024-12-29,The AirPods are great sounding but I lost them and find my is no help I still can't find my AirPods the little ping sound doesn't work at all so I feel Apple should make improvements on that and AirPods will be great.
Horrible,Gabby,1,2024-12-29,"Horrible , want stay charged not connected"
Spreading holiday cheer- Airpods Scored big!,Denise,5,2024-12-29,This was a Christmas gift for a cousin. He loved it!
Great deals %26 great prices,Amy,5,2024-12-29,"Walmart is my go to store, for almost everything and you can always find great deals!"
,David,5,2024-12-29,Love them because they fit perfect in ears
Daughter loved these!,kris,5,2024-12-29,They were great and she uses them and they fit in her ears easily
,Shelli,5,2024-12-29,my grandson was thrilled to receive these! he is very happy with them.
,Samantha,5,2024-12-29,My daughter love these and said they fit her ears perfect. I got them for a good price!
Fast service in a pinch!!,Monique,5,2024-12-29,Worked out great in a pinch. Pick up order was ready quickly!
Great price for good AirPods,Tuffytellsall,5,2024-12-28,Great price on the AirPods for my teenage daughter. Easy to pair and has good sound and call quality.
,Michele1060,5,2024-12-28,They synced up easily %26 so far so good.
,charan,1,2024-12-28,Did not worked
Good product,anonymous,4,2024-12-28,Overall good product !
,Michele1060,5,2024-12-28,They synced up easily %26 so far so good.
,Selina,1,2024-12-28,I asked for them to place package under the bunch by my door because I know my neighborhood and I did not see a package when I got home …
Perfect,Amber,5,2024-12-28,exactly what I expected.
,jackson,4,2024-12-28,They were a gift for my daughter she loved them .
,Michele1060,5,2024-12-28,They synced up easily %26 so far so good.
,William,5,2024-12-28,They work.
Older IS better this time!,McMere,5,2024-12-27,"Love these 2nd generation Apple AirPods! Tried the new 3rd generation, supposedly better, but couldn't compare with comfort, better range and sound of the 2nd gen so when I found them at Walmart for a fantastic price, I grabbed the deal. And I'm sooooooo happy that I did👍👍👍‼️"
Older IS better this time!,McMere,5,2024-12-27,"Love these 2nd generation Apple AirPods! Tried the new 3rd generation, supposedly better, but couldn't compare with comfort, better range and sound of the 2nd gen so when I found them at Walmart for a fantastic price, I grabbed the deal. And I'm sooooooo happy that I did👍👍👍‼️"
,Katilyn,1,2024-12-26,My apple airpods is not working
loved them,Carol,5,2024-12-26,My granddaughters loved them as a Chistmas gift
,aeric,5,2024-12-26,great all around
Ipods,Sophia,5,2024-12-26,It was easy to pair to my iPhone and worked as the directions indicated.
,Abelardo,5,2024-12-26,Work great
,Latrice,1,2024-12-26,One my ear pods not working
Only 1 worked,Rebecca,1,2024-12-26,Only 1 of the air pods worked.
5th Purchase!,Amber,5,2024-12-26,This is the 5th pair of these I have gifted to family members. Worked as expected right from the box and they have had no complaints.
AirPod review,tera,1,2024-12-26,Not working properly
,Talia,5,2024-12-26,I love them works great them works great
,Talia,5,2024-12-26,I love them works great them works great
Happy,coco,5,2024-12-26,Great product and wonderful price
,Katilyn,1,2024-12-26,My apple airpods is not working
Great gift for your APPLE lover,Ruthie,5,2024-12-26,This is my daughter's 2nd pair and she absolutely loves them.
AirPod review,tera,1,2024-12-26,Not working properly
Happy,coco,5,2024-12-26,Great product and wonderful price
Static,Gabriela,1,2024-12-26,Sounds good the first few days then very static after that. Haven't had them for a month yet and they stay in my car so they were not wet or dropped or damaged by me. Do not recommend
,Abelardo,5,2024-12-26,Work great
Only 1 worked,Rebecca,1,2024-12-26,Only 1 of the air pods worked.
,Katilyn,1,2024-12-26,My apple airpods is not working
Good Price,EBCT,5,2024-12-26,the price was greate
Great gift for your APPLE lover,Ruthie,5,2024-12-26,This is my daughter's 2nd pair and she absolutely loves them.
,Susie,4,2024-12-26,Works well for a quick vacuum
2nd gen airpods,Tipperary,4,2024-12-26,they rub the inside of my ears raw. otherwise good sound
,aeric,5,2024-12-26,great all around
Great gift for your APPLE lover,Ruthie,5,2024-12-26,This is my daughter's 2nd pair and she absolutely loves them.
,Abelardo,5,2024-12-26,Work great
,aeric,5,2024-12-26,great all around
,Eleazar,2,2024-12-26,Case stopped charging
Happy,coco,5,2024-12-26,Great product and wonderful price
will not charge,milava,1,2024-12-25,"Very terrible connection issues, will not charge correctly unless i do all sorts of resets. Very complicated to say the least"
Misleading,jheanell,1,2024-12-25,These were refurbished got them for my 9year old for Christmas I knew they were refurbished when was going thru the pairing process and they were already name “love family” instead of AirPods 🙄🙄🙄 the description didn't say anything about them being refurbished
,Bryan,1,2024-12-25,Right ear bud had a loud hi pitch sound.
Great value,Mike,5,2024-12-25,Great value for the product
,Deshawn,5,2024-12-25,Good product fast shipping would buy again
,Deshawn,5,2024-12-25,Good product fast shipping would buy again
,KATHY,5,2024-12-25,Grandson loved them
Great value,Mike,5,2024-12-25,Great value for the product
Airpods,Geo,5,2024-12-25,I love them sounds very good
Good Price.,Michael,4,2024-12-25,They Connect fast. But they don't have much Bass.
,ashley,1,2024-12-25,One ear bud doesn't work
,ashley,1,2024-12-25,One ear bud doesn't work
,Bryan,1,2024-12-25,Right ear bud had a loud hi pitch sound.
,Kymorah,5,2024-12-25,"i love them so much ,they are very loud"
,KATHY,5,2024-12-25,Grandson loved them
,Laylah,5,2024-12-25,I got it as my back to school gift I love it so much I always forget to charge them tho but overall wonderful
,Rose,2,2024-12-24,"Very painful, terrible"
,Summer,1,2024-12-24,never received them reached out and never got a response
,mike,2,2024-12-24,They are refurbished and die very quickly. Not happy with my purchase
Love them!!,Alexis,5,2024-12-24,Love them my old ones messed up and works when they want to think water might have got into the case. But theses so far so good!! Bought two of them for me and my man and he loves them his first pair of pods
Love them!!,Alexis,5,2024-12-24,Love them my old ones messed up and works when they want to think water might have got into the case. But theses so far so good!! Bought two of them for me and my man and he loves them his first pair of pods
,Ariana,4,2024-12-24,"These won't charge with my wireless charger, however, the pair I had before did. Other than that, they're great!"
AirPods,Norma,5,2024-12-24,"love the product, work well and easy to use"
,Jennifer,1,2024-12-24,Absolutely disgusting! Bought these for a Christmas gift for son. He opened the box to a very used and dirty pair of AirPods. These were supposed to be new. Will be returning for a full refund!
Fast and east,Emily,5,2024-12-24,I loved how it was an easy pick up
Perfect,Tina,5,2024-12-24,Purchased for teen daughter. She loves them.
Christmas gift,MartinaGreen,5,2024-12-24,My daughter said amazing
They work well,James,5,2024-12-24,They work very well. However they never last as long as Apple says. This is my 3rd pair.
,Melissa,1,2024-12-23,Item never came and hard to get anyone to help
Apple products,Mark,5,2024-12-23,"Great product, excited to use with my other apple products"
,Strawberry,5,2024-12-23,This was for a gift but she loved them said how good quality they are
present,Balto,4,2024-12-23,great sale
Not good,Omar,1,2024-12-23,I bought some AirPods i opened the case and they were all scratched and full of earwax I took the earwax out and when i went to connect them to my phone it said keah's AirPods %233 they wouldn't charge and they disconnected like if they were dead and I couldn't return them because I lost my receipt
,Melissa,1,2024-12-23,Item never came and hard to get anyone to help
I love my AirPods,hannahp607_2449,5,2024-12-22,I got my AirPods back in 2018 and they are still great. I use them everyday and are one of the best purchases I have ever made.
noice,jonathan,4,2024-12-22,Sometimes the left airpod doesn't want to connect overall they're good
,nbs,3,2024-12-22,The battery life is only about 4 hours
I love my AirPods,hannahp607_2449,5,2024-12-22,I got my AirPods back in 2018 and they are still great. I use them everyday and are one of the best purchases I have ever made.
Love love love,tabbyjessup_4327,5,2024-12-22,These are the best AirPods in my opinion. The other newer ones would always fall out of my ears. These ones are super comfortable while also allowing a wonderful sound. Always make sure to put them back in the case.
,Mandy,1,2024-12-22,They're constantly needing to be recharged and the volume is lower than normal.
Apple,DONNA,5,2024-12-21,Great as always
They are amazing!,Alexis,5,2024-12-21,Honestly was a very good purchase I would buy it again!!
Apple,DONNA,5,2024-12-21,Great as always
Disappointed I didn't get the item,Robin,1,2024-12-21,This review is for the seller didn't get the item. Ordered this item for a present and never received. Said it was shipped but the tracking was the same everyday with no updates. Reached out to Walmart and is waiting for a response from the seller.
Good product,breannas184_1211,5,2024-12-21,Very good product. Sounds nice. Would recommend. If you have the opportunity then I recommend for you to get this product
,Asiazna,1,2024-12-21,"Battery is really wack , they don't hold a charge well and they don't fit in ears properly"
Best shape and sound for me,Mel,5,2024-12-21,There's nothing quite like them. Simply the best.
Good product,breannas184_1211,5,2024-12-21,Very good product. Sounds nice. Would recommend. If you have the opportunity then I recommend for you to get this product
Last a long time,evavndn_5709,4,2024-12-21,Used these AirPods for 5 years with no problems. Great sound and battery life. They sit comfortably in your ears. Easy to connect to your ears with a nice eye catching design.
,Sally,2,2024-12-21,"Hurt my ears, very uncomfortable"
Meh,Anna,3,2024-12-21,They don't work great. The sound quality is fuzzy and they cut out at times.
Great buy,Candace,5,2024-12-21,Great sound quality and affordable for my teen.
Wonderful quality,mamabear1nfluencer_5922,5,2024-12-21,Nothing compared to the quality that I have gotten from these. I have been able to use these for years without the quality minimizing. I once was not an Apple using but I will never go back.
Needed a new pair,Jimmy,5,2024-12-21,My AirPods were getting old (5 years) so time for a new pair and couldn't be more satisfied 🫡
Apple,DONNA,5,2024-12-21,Great as always
Apple AirPods are a solid choice.,yuliiab17_6452,4,2024-12-21,"Apple AirPods are high-quality wireless earbuds that deliver excellent sound, comfort, and convenience. One of their main strengths is their seamless integration with Apple devices. Pairing is quick and effortless, and the compact design, along with the charging case, makes them easy to carry around."
Durable earbuds,emilyf446_6634,5,2024-12-21,These air buds are so comfortable and stay in my ears very well. The battery life lasts days and the sound quality is unmatched. I love this product and I can't imagine ever getting another earbud to replace.
Apple AirPods are a solid choice.,yuliiab17_6452,4,2024-12-21,"Apple AirPods are high-quality wireless earbuds that deliver excellent sound, comfort, and convenience. One of their main strengths is their seamless integration with Apple devices. Pairing is quick and effortless, and the compact design, along with the charging case, makes them easy to carry around."
,Tracy,5,2024-12-20,We love these AirPods
,WalmartCustomer,5,2024-12-20,"It's a gift in the original box, undamaged."
worth it,rubyw125_8956,4,2024-12-20,battery life is amazing the sound is amazing and most important they are comfortable and don't give headaches but aren't noise cancelling sadly
Faulty charge or battery in product.,Evette,1,2024-12-20,They do not keep a charge for long at all since since day one of having them. I just don't have the time to return them especially because its been so long!
Review of Apple AirPods with Charging Case,donniehoover_9188,4,2024-12-20,"Okay, imagine this: You're listening to your favorite song, and suddenly, BAM! No wires, no tangles, and you feel like a secret agent. That's what Apple AirPods are like! These little white earbuds sit in your ears, play music, and even let you talk to people like magic. The Good Stuff: Easy-Peasy to Use: Open the case, and poof they connect to your iPad, iPhone, or Mac like they're best friends. No buttons, no fiddling. Portable and Cute: The little case is like a tiny house for the AirPods. It's small enough to fit in your pocket and even charges the AirPods while they nap. Sound is Pretty Cool: Music sounds clear, and you can even hear all the words when people talk to you on the phone. Super Smart: Take one out of your ear, and the music pauses like it knows what you're thinking. The Not-So-Great Stuff: Easy to Lose: They're small and white, like little marshmallows, so don't drop them in the couch! Pricey: These are not cheap, like buying a lot of candy at once. No Noise Blocker: If your little brother is yelling, you'll still hear him because these don't block all the noise. Who Are They For? If you love techy things, cool gadgets, and want music without wires, AirPods are a lot of fun. But if you're always losing stuff or want to save your allowance, maybe think about it. In a nutshell: AirPods are like a fun toy for your ears, but you have to take good care of them and save up your pennies."
Love Love Love,shelbyn82_6812,5,2024-12-20,"I have used the Apple brand Airpods for a couple of years, and they are hands down the best on the market. I have tried other brands of wireless headphones, but, non compare to these. The comfort, ease of use, price, and quality are top notch."
,Sharon,5,2024-12-20,Love them. Sounds so clear!
,Karen,5,2024-12-20,I love these
,Karen,5,2024-12-20,I love these
"En general me gusta, tiene las funiciones que nece",astridc8499_5631,5,2024-12-20,"Tiene una excelente calidad de sonido también la batería dura muchísimo, además de la cancelación del ruido está muy bien además son muy cómodos"
,Tracy,5,2024-12-20,We love these AirPods
Review of Apple AirPods with Charging Case,donniehoover_9188,4,2024-12-20,"Okay, imagine this: You're listening to your favorite song, and suddenly, BAM! No wires, no tangles, and you feel like a secret agent. That's what Apple AirPods are like! These little white earbuds sit in your ears, play music, and even let you talk to people like magic. The Good Stuff: Easy-Peasy to Use: Open the case, and poof they connect to your iPad, iPhone, or Mac like they're best friends. No buttons, no fiddling. Portable and Cute: The little case is like a tiny house for the AirPods. It's small enough to fit in your pocket and even charges the AirPods while they nap. Sound is Pretty Cool: Music sounds clear, and you can even hear all the words when people talk to you on the phone. Super Smart: Take one out of your ear, and the music pauses like it knows what you're thinking. The Not-So-Great Stuff: Easy to Lose: They're small and white, like little marshmallows, so don't drop them in the couch! Pricey: These are not cheap, like buying a lot of candy at once. No Noise Blocker: If your little brother is yelling, you'll still hear him because these don't block all the noise. Who Are They For? If you love techy things, cool gadgets, and want music without wires, AirPods are a lot of fun. But if you're always losing stuff or want to save your allowance, maybe think about it. In a nutshell: AirPods are like a fun toy for your ears, but you have to take good care of them and save up your pennies."
Great overall product,parthp15_868,5,2024-12-20,I used to have these and they are pretty good they charge the AirPods without being plugged and have good sound quality and you can talk with them to
,reynalda,1,2024-12-20,i never received them
worth it,rubyw125_8956,4,2024-12-20,battery life is amazing the sound is amazing and most important they are comfortable and don't give headaches but aren't noise cancelling sadly
Apple AirPods are a fantastic upgrade,Natalie,5,2024-12-20,"The Apple AirPods with Charging Case (2nd Generation) are a fantastic upgrade for anyone looking for seamless audio and convenience. The sound quality is crisp and clear, with excellent balance, making them perfect for music, podcasts, and calls. The easy setup with Apple devices is a huge plus, and the comfortable fit ensures a secure wear even during longer use. The Charging Case provides great battery life, keeping the AirPods powered for hours of enjoyment. Overall, the 2nd Generation AirPods deliver outstanding performance and value, making them a must-have for Apple users."
,Karen,5,2024-12-20,I love these
Lo recomiendo es súper bn y durable,ledisf_816,3,2024-12-20,Durabilidad muy bn calidad de sonido buena conectividad la comunidad es bn cancelación de ruido la verdad Estoy sorprendida con éste electrónico
,WalmartCustomer,5,2024-12-20,"It's a gift in the original box, undamaged."
,Emonee,5,2024-12-20,Very good quality and loud
Amazing quality,ssadness_7053,5,2024-12-20,"Superb products, never disappointed by quality and durability. Easy to use and set up. Long life product. Worth the money. Definatley number one choice"
,Leticia,5,2024-12-20,"Second pair, love these!"
,Sharon,5,2024-12-20,Love them. Sounds so clear!
Love Love Love,shelbyn82_6812,5,2024-12-20,"I have used the Apple brand Airpods for a couple of years, and they are hands down the best on the market. I have tried other brands of wireless headphones, but, non compare to these. The comfort, ease of use, price, and quality are top notch."
Apple AirPods are a fantastic upgrade,Natalie,5,2024-12-20,"The Apple AirPods with Charging Case (2nd Generation) are a fantastic upgrade for anyone looking for seamless audio and convenience. The sound quality is crisp and clear, with excellent balance, making them perfect for music, podcasts, and calls. The easy setup with Apple devices is a huge plus, and the comfortable fit ensures a secure wear even during longer use. The Charging Case provides great battery life, keeping the AirPods powered for hours of enjoyment. Overall, the 2nd Generation AirPods deliver outstanding performance and value, making them a must-have for Apple users."
Amazing quality,ssadness_7053,5,2024-12-20,"Superb products, never disappointed by quality and durability. Easy to use and set up. Long life product. Worth the money. Definatley number one choice"
Batt life on mine was terrible,brandonz9_7845,3,2024-12-20,"Poor battery life on mine. Maybe I got a lemon I don't know. From unboxing until I threw them away, they were not great. Certainly not worth what we all paid for them. Do better apple."
Great overall product,parthp15_868,5,2024-12-20,I used to have these and they are pretty good they charge the AirPods without being plugged and have good sound quality and you can talk with them to
Great quality,gayanek3_7837,5,2024-12-19,"The sound quality, battery life and connectivity is great. The comfort and portability is easy and can be taken wherever you goThe perfect gift"
,Tallynole,1,2024-12-19,Mallon arrival durrbl do rh wee
Excellent,Donna,4,2024-12-19,Fast and easy
Apple Airpods,,1,2024-12-19,One did not work
Airpods,dinya,1,2024-12-19,One of them stopped working after 2 days
Very good quality.,maxj21_8767,5,2024-12-19,Best sound quality! Battery could be better! They feel really good! They are very easy to connect! And they can fit in your pocket! I love AirPods and use them every day!
Great quality!,Marilee,5,2024-12-19,"As expected from an Apple product, these are great! Great sound and easy to pair."
,,5,2024-12-19,"My wife is really happy with the effort. She received the second generation. I'm still not sure on mine which are the third generation pros over the second generation pros but I've got a problem with the customer service I received, which I can't say was very good."
they are worth it,rihannaaax_8463,5,2024-12-19,"They last you long, they are not uncomfortable at all, they are loud enough to enjoy and are easily able to connect to your phone through bluetooth."
,AP,5,2024-12-19,Great headphones! Clear sound
,Mikael,1,2024-12-19,Stopped working within a month. The right one kept have static then just went out now when I put it in the case the light keeps blinking as if that's the wrong AirPod for the case . Second time this had happened . Waste of money
Great!,Katrina,5,2024-12-19,Just what I was told
,Ann,5,2024-12-19,As expected
they are very loud,millyr23_8660,4,2024-12-18,"Good battery life , good design , small so easy to hide , good sound quality and the comfort is id say 2/5 as after 5 minutes my ears hurt but everyones different"
,Sergio,5,2024-12-18,Very sastified with the quality the sound its very good
A great buy,javedk_9500,4,2024-12-18,Mannnn these things have been with me since they were originally released. These are great for the money! Been through a LOT. I would definitely recommend. They are comfortable and have good battery life. The sound quality it good for the money also.
,Davood,2,2024-12-18,Have no idea as why I have not received the product since the first shipment had countered an issue . The replacement of the shipment supposed to be delivered and no mailing company has noked on my door yet . Pls call me ASAP for stats
They do exactly what they're supposed to do …,heidim179_3413,4,2024-12-18,"Got these for my teenage daughter and she loves them. Holds a charge for hours while she's at school. Strong connection and no issues with cutting in and out. One of few that don't hurt her ears, so the fit is great. She can't hear me when she's wearing them so the sound is top tier as well."
very good quality,leilal31_1596,5,2024-12-18,the sound quality is amazing!! the battery life lasts very long and the durability is definitely worth the price. It is very easy to connect to my apple products and the comfort is amazing.
A great buy,javedk_9500,4,2024-12-18,Mannnn these things have been with me since they were originally released. These are great for the money! Been through a LOT. I would definitely recommend. They are comfortable and have good battery life. The sound quality it good for the money also.
Ease of use and sleek design .,heatherm1075_4877,5,2024-12-18,These Apple iPods have a great battery life and sound great . Ease of use and fit is fantastic. And when getting a call they connect with ease . Highly recommend.
Missing one AirPod,MildlyDisagree,1,2024-12-18,"Arrived opened box with one piece missing. I have never had such bad experience in Walmart shopping. Hopefully, I would be able to return it. I would like to give it another shot, but won't order delivery anymore."
Very comfy head phones with great sound!,emmae183_3038,5,2024-12-18,Best head phone!They have great sound quality and they are very comfortable!They are very easy to connect!Fun fact I even dropped mine in a sink full of water and they still worked! Battery last long!
Amazing little music machines!,Shanna,4,2024-12-18,"These are great for people who have smaller ear canals and can't wear the ones with the rubber tips. The sound quality is amazing. I really liked the setup, super simple and easy!"
Great until they weren't,cierraw14_6346,4,2024-12-18,"The sound quality is amazing. It truly is noise cancelling and stays connected when you are pretty far from your device, which I love for the gym. They stay in my ears and are comfortable for the most part, except when worn for long periods of time they start to irritate my ears because they are so hard. Overtime the battery life has definitely faded. After three years of owning them I've also repeatedly had my AirPods give out when they are fully charged. One ear will randomly stop playing music which defeats the whole purpose of noise cancelling headphones. My AirPods are refurbished but I've seen others who have had this same issue. I would be pretty upset if I paid full price for this to eventually happen, but because they give out so frequently I have stopped using them all together."
,Sergio,5,2024-12-18,Very sastified with the quality the sound its very good
They do exactly what they're supposed to do …,heidim179_3413,4,2024-12-18,"Got these for my teenage daughter and she loves them. Holds a charge for hours while she's at school. Strong connection and no issues with cutting in and out. One of few that don't hurt her ears, so the fit is great. She can't hear me when she's wearing them so the sound is top tier as well."
Great until they weren't,cierraw14_6346,4,2024-12-18,"The sound quality is amazing. It truly is noise cancelling and stays connected when you are pretty far from your device, which I love for the gym. They stay in my ears and are comfortable for the most part, except when worn for long periods of time they start to irritate my ears because they are so hard. Overtime the battery life has definitely faded. After three years of owning them I've also repeatedly had my AirPods give out when they are fully charged. One ear will randomly stop playing music which defeats the whole purpose of noise cancelling headphones. My AirPods are refurbished but I've seen others who have had this same issue. I would be pretty upset if I paid full price for this to eventually happen, but because they give out so frequently I have stopped using them all together."
,Sehaj,1,2024-12-18,I got the used one. You have not mentioned that you are selling used products
Long battery,giselh5_844,5,2024-12-18,"I have had these AirPods for about 6 years, they are truly wonderful for me.I take them everywhere and their battery lasts a long time. I truly recommend you."
ear buds,Hazel,5,2024-12-18,easy to use
Just go to Apple.,dawona,5,2024-12-18,Does not hold a charge. Right airpod not working at all. And process of scheduling an Apple appointment in hopes of receiving a new pair.
Very comfy head phones with great sound!,emmae183_3038,5,2024-12-18,Best head phone!They have great sound quality and they are very comfortable!They are very easy to connect!Fun fact I even dropped mine in a sink full of water and they still worked! Battery last long!
Just go to Apple.,dawona,5,2024-12-18,Does not hold a charge. Right airpod not working at all. And process of scheduling an Apple appointment in hopes of receiving a new pair.
,Sehaj,1,2024-12-18,I got the used one. You have not mentioned that you are selling used products
Ease of use and sleek design .,heatherm1075_4877,5,2024-12-18,These Apple iPods have a great battery life and sound great . Ease of use and fit is fantastic. And when getting a call they connect with ease . Highly recommend.
,Tammie,5,2024-12-18,love ear fitting
very good quality,leilal31_1596,5,2024-12-18,the sound quality is amazing!! the battery life lasts very long and the durability is definitely worth the price. It is very easy to connect to my apple products and the comfort is amazing.
,Frieda,1,2024-12-18,The sound doesn't work. i have to return them.
,Frieda,1,2024-12-18,The sound doesn't work. i have to return them.
AirPods that work,Honey,5,2024-12-17,Typical AirPods came new in the box . Worked perfectly fine
,Ash,5,2024-12-17,I got it as an early christmas gift and they are extremely happy
Love AirPods,amandal100_223,5,2024-12-17,I use my AirPods everyday and I'm honestly impressed by how long they've lasted. The battery life is good and sound quality is fine. They're comfortable and I think the sleek design is nice!
Great purchase,lisa,5,2024-12-17,Like these don't get to wear them much but they are good.
,Kennedi,5,2024-12-17,"Works perfect, charges for awhile"
,Stanetra,5,2024-12-17,Perfect Product for Perfect Price
Love AirPods,amandal100_223,5,2024-12-17,I use my AirPods everyday and I'm honestly impressed by how long they've lasted. The battery life is good and sound quality is fine. They're comfortable and I think the sleek design is nice!
,Kimberly,5,2024-12-17,Love them one for my Christmas gift to myself
I like the design,kaileyw17_8919,5,2024-12-17,The sound quality is really nice and the design and comfort of these are nice in the ears and it has a good battery life as they continue I think it will keep improving
,Nancy,5,2024-12-17,Love them great price
The best of the best!,nikkib114_6461,5,2024-12-16,"The best of the best! I have tried a variety of wireless headsets, and this is really the best one out there! It's charging capabilities are really wonderful as well! ￼"
Perfect lightweight headphones,rachelc882_1883,5,2024-12-16,These have literally saved my life. They are so light and you barely feel them in your ears! I love that my notifications from my phone come in through them. The sound quality is amazing as well!
Not recommended,Manav,3,2024-12-16,That can't be tracked as good as other AirPods that show u the exact location
Good product,madonnab6_8618,3,2024-12-16,Very nice and work perfect. Battery life is an issue sometimes but it's not a big deal. Love using it and the privacy I get with it. I would recommend it
